Track Checkpoint Segments
Format: Shape_Index Segment_Index Position_X Position_Y Size_X Size_Y Rotation_Degrees
========================================
Shape 0:
  Segment 0: Pos(350, 230) Size(2.26421, 100) Rot(353.157)
  Segment 21: Pos(375.837, 227.346) Size(2.18505, 100) Rot(355.149)
  Segment 42: Pos(400.846, 225.684) Size(2.1089, 100) Rot(357.287)
  Segment 63: Pos(425.029, 225.015) Size(2.03581, 100) Rot(359.582)
  Segment 84: Pos(448.385, 225.338) Size(1.96618, 100) Rot(2.04447)
  Segment 105: Pos(470.914, 226.653) Size(1.90051, 100) Rot(4.68203)
  Segment 126: Pos(492.616, 228.96) Size(1.8391, 100) Rot(7.50208)
  Segment 147: Pos(513.492, 232.26) Size(1.78253, 100) Rot(10.5091)
  Segment 168: Pos(533.54, 236.552) Size(1.73108, 100) Rot(13.7041)
  Segment 189: Pos(552.762, 241.836) Size(1.68534, 100) Rot(17.0836)
  Segment 210: Pos(571.156, 248.112) Size(1.64605, 100) Rot(20.6385)
  Segment 231: Pos(588.724, 255.381) Size(1.61324, 100) Rot(24.3534)
  Segment 252: Pos(605.465, 263.642) Size(1.58763, 100) Rot(28.2062)
  Segment 273: Pos(621.379, 272.895) Size(1.5692, 100) Rot(32.1682)
  Segment 294: Pos(636.466, 283.141) Size(1.55849, 100) Rot(36.205)
  Segment 315: Pos(650.727, 294.378) Size(1.55577, 100) Rot(40.2778)
  Segment 336: Pos(664.16, 306.608) Size(1.56069, 100) Rot(44.3458)
  Segment 357: Pos(676.767, 319.83) Size(1.57359, 100) Rot(48.3685)
  Segment 378: Pos(688.546, 334.044) Size(1.59405, 100) Rot(52.3081)
  Segment 399: Pos(699.499, 349.251) Size(1.62172, 100) Rot(56.1313)

Shape 1:
  Segment 0: Pos(700, 350) Size(1.66105, 100) Rot(56.31)
  Segment 31: Pos(716.506, 372.263) Size(1.55848, 100) Rot(50.3941)
  Segment 63: Pos(734.847, 391.962) Size(1.47225, 100) Rot(43.4983)
  Segment 94: Pos(753.876, 407.865) Size(1.4115, 100) Rot(36.1178)
  Segment 126: Pos(774.821, 420.999) Size(1.37545, 100) Rot(27.9537)
  Segment 157: Pos(796.374, 430.542) Size(1.36834, 100) Rot(19.7895)
  Segment 189: Pos(819.923, 437.11) Size(1.39009, 100) Rot(11.4431)
  Segment 220: Pos(843.999, 440.293) Size(1.43792, 100) Rot(3.74853)
  Segment 252: Pos(870.153, 440.295) Size(1.51261, 100) Rot(356.448)
  Segment 283: Pos(896.751, 437.118) Size(1.60578, 100) Rot(350.117)
  Segment 315: Pos(925.51, 430.556) Size(1.72036, 100) Rot(344.372)
  Segment 346: Pos(954.631, 421.018) Size(1.84552, 100) Rot(339.53)
  Segment 378: Pos(985.995, 407.89) Size(1.98661, 100) Rot(335.203)
  Segment 409: Pos(1017.64, 391.993) Size(2.13265, 100) Rot(331.577)
  Segment 441: Pos(1051.61, 372.3) Size(2.29129, 100) Rot(328.332)
  Segment 472: Pos(1085.77, 350.042) Size(2.45075, 100) Rot(325.597)
  Segment 504: Pos(1122.35, 323.784) Size(2.6207, 100) Rot(323.129)
  Segment 535: Pos(1159.04, 295.166) Size(2.78928, 100) Rot(321.029)
  Segment 567: Pos(1198.21, 262.342) Size(2.96688, 100) Rot(319.115)
  Segment 599: Pos(1238.71, 226.184) Size(3.14724, 100) Rot(317.418)

Shape 2:
  Segment 0: Pos(1240, 225) Size(1.86625, 100) Rot(317.368)
  Segment 21: Pos(1256.32, 211.193) Size(1.79876, 100) Rot(322.269)
  Segment 42: Pos(1273.22, 199.295) Size(1.7454, 100) Rot(327.512)
  Segment 63: Pos(1290.7, 189.305) Size(1.70775, 100) Rot(333.038)
  Segment 84: Pos(1308.75, 181.223) Size(1.6863, 100) Rot(338.761)
  Segment 105: Pos(1327.38, 175.049) Size(1.68198, 100) Rot(344.574)
  Segment 126: Pos(1346.58, 170.783) Size(1.6954, 100) Rot(350.358)
  Segment 147: Pos(1366.36, 168.426) Size(1.72527, 100) Rot(356)
  Segment 168: Pos(1386.72, 167.976) Size(1.77096, 100) Rot(1.40055)
  Segment 189: Pos(1407.66, 169.435) Size(1.83237, 100) Rot(6.48646)
  Segment 210: Pos(1429.17, 172.802) Size(1.90675, 100) Rot(11.212)
  Segment 231: Pos(1451.26, 178.078) Size(1.99282, 100) Rot(15.5568)
  Segment 252: Pos(1473.92, 185.261) Size(2.08976, 100) Rot(19.5213)
  Segment 273: Pos(1497.16, 194.353) Size(2.19552, 100) Rot(23.1199)
  Segment 294: Pos(1520.98, 205.352) Size(2.30911, 100) Rot(26.3766)
  Segment 315: Pos(1545.37, 218.26) Size(2.42924, 100) Rot(29.3195)
  Segment 336: Pos(1570.34, 233.077) Size(2.5551, 100) Rot(31.9785)
  Segment 357: Pos(1595.89, 249.801) Size(2.68633, 100) Rot(34.3829)
  Segment 378: Pos(1622.01, 268.434) Size(2.82165, 100) Rot(36.5601)
  Segment 399: Pos(1648.71, 288.974) Size(2.96061, 100) Rot(38.5355)

Shape 3:
  Segment 0: Pos(1650, 290) Size(2.25798, 100) Rot(38.6249)
  Segment 15: Pos(1664.86, 300.827) Size(2.1531, 100) Rot(33.3905)
  Segment 31: Pos(1681.02, 310.308) Size(2.06278, 100) Rot(27.2733)
  Segment 47: Pos(1697.5, 317.653) Size(1.99842, 100) Rot(20.677)
  Segment 62: Pos(1713.23, 322.6) Size(1.96365, 100) Rot(14.1754)
  Segment 78: Pos(1730.32, 325.809) Size(1.95527, 100) Rot(7.07739)
  Segment 94: Pos(1747.73, 326.883) Size(1.97689, 100) Rot(0.0199025)
  Segment 110: Pos(1765.45, 325.821) Size(2.02736, 100) Rot(353.209)
  Segment 125: Pos(1782.34, 322.887) Size(2.09987, 100) Rot(347.195)
  Segment 141: Pos(1800.68, 317.689) Size(2.1998, 100) Rot(341.279)
  Segment 157: Pos(1819.32, 310.356) Size(2.3211, 100) Rot(335.928)
  Segment 173: Pos(1838.28, 300.887) Size(2.46046, 100) Rot(331.144)
  Segment 188: Pos(1856.35, 290.072) Size(2.60513, 100) Rot(327.149)
